Region,Country,Location,Site,Source,Lat,Long,MAP,MAP_data_flag,Woody_cover,Clay,Sand,Soil_N,Total_P,N_min_potential,Fire_return,Fire_return_data_source_flag,Herbivore_biomass,Herbivore_biomass_data_flag,Grazer_biomass,Browser_and_mixed_feeder_biomass,Site_Description,Cover_method,Woody_cover_data_flag,Total_plot_size_or_Transect_length,Depth_of_soil_measurements,Dominant_woody_species
East Africa,Kenya,Mpala Research Centre,Buffalo bush,"Augustine, D. J. - unpublished",0.382,36.879,366,,40.1,14,75,0.099,250.9,23.1,>20,,0,,0,0,Commercial rangeland; bushland site ungrazed since 1999,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia mellifera
East Africa,Kenya,Mpala Research Centre,Buffalo bush,"Augustine, D. J. - unpublished",0.382,36.879,366,,26.1,14,75,0.08,211.8,18.6,>20,,7563,,2794,4768,Commercial rangeland - grazed by domestic + native herbivores; grazed bushland,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia mellifera
East Africa,Kenya,Turkana district,1,"Patten, R. (1991)",2.28,35.442,354,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11.1,30,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia nubica
East Africa,Kenya,Turkana district,2,"Patten, R. (1991)",2.274,35.468,382,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),26.9,7.3,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,3,"Patten, R. (1991)",2.271,35.494,379,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.1,26,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,4,"Patten, R. (1991)",2.272,35.518,379,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),30.3,23,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,5,"Patten, R. (1991)",2.281,35.546,342,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),30.8,28,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,6,"Patten, R. (1991)",2.382,35.458,322,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),29.7,22.4,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,7,"Patten, R. (1991)",2.377,35.458,322,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),17.4,9.6,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,8,"Patten, R. (1991)",2.375,35.564,321,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14.3,5.6,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,9,"Patten, R. (1991)",2.37,35.564,372,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),19,6.8,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,10,"Patten, R. (1991)",2.317,35.587,336,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),17.1,4.7,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,11,"Patten, R. (1991)",2.251,35.55,379,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.6,20.7,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,12,"Patten, R. (1991)",2.395,35.702,299,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11,5.4,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,13,"Patten, R. (1991)",2.399,35.718,299,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),5,4.1,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,14,"Patten, R. (1991)",2.399,35.732,287,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),18.2,22.9,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,15,"Patten, R. (1991)",2.396,35.758,287,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14,28.9,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,16,"Patten, R. (1991)",2.39,35.784,279,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),4.9,33.9,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,17,"Patten, R. (1991)",2.38,35.808,279,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),3.6,28.6,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,18,"Patten, R. (1991)",2.288,35.657,328,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15.6,8.1,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,19,"Patten, R. (1991)",2.297,35.668,328,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.8,12.8,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,20,"Patten, R. (1991)",2.303,35.676,320,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.4,5.5,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,21,"Patten, R. (1991)",2.306,35.686,320,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),7.5,13,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,22,"Patten, R. (1991)",2.315,35.702,320,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.3,25.1,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,23,"Patten, R. (1991)",2.318,35.711,320,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11.7,4.7,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,24,"Patten, R. (1991)",2.339,35.752,298,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),9.6,6.8,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,25,"Patten, R. (1991)",2.353,35.782,291,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),23.3,17.7,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,26,"Patten, R. (1991)",2.378,35.828,274,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),2.5,20,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,27,"Patten, R. (1991)",2.388,35.846,274,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),6.7,20,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,28,"Patten, R. (1991)",2.348,35.835,285,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15.3,10,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,29,"Patten, R. (1991)",2.33,35.871,285,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),21.6,6.2,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,30,"Patten, R. (1991)",2.31,35.871,303,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8.6,8.9,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,31,"Patten, R. (1991)",2.249,35.551,379,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),26,4.3,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,32,"Patten, R. (1991)",2.226,35.551,379,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),24.6,21.3,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,33,"Patten, R. (1991)",2.186,35.536,406,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),30,21.4,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,34,"Patten, R. (1991)",2.131,35.505,404,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11.7,8.6,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,35,"Patten, R. (1991)",2.109,35.487,429,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),32.3,19.6,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,36,"Patten, R. (1991)",2.067,35.492,453,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),27.8,12.2,,,,,8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,37,"Patten, R. (1991)",2.193,35.698,368,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),22.5,4,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia nubica
East Africa,Kenya,Turkana district,38,"Patten, R. (1991)",2.204,35.717,368,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.8,4.8,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,39,"Patten, R. (1991)",2.23,35.756,330,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),26.6,9.8,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,40,"Patten, R. (1991)",2.232,35.761,330,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),23.3,10.1,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,41,"Patten, R. (1991)",2.242,35.777,373,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),22.8,22.1,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,42,"Patten, R. (1991)",2.255,35.792,373,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),36.1,16.5,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,43,"Patten, R. (1991)",2.262,35.807,373,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),41.8,11.1,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,44,"Patten, R. (1991)",2.275,35.818,373,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.9,4,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,45,"Patten, R. (1991)",2.276,35.826,303,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),6.9,32.5,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,46,"Patten, R. (1991)",2.13,35.726,372,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),35.6,9.5,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,47,"Patten, R. (1991)",2.154,35.761,372,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),26.5,11.3,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,48,"Patten, R. (1991)",2.162,35.776,358,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14.5,9.2,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,49,"Patten, R. (1991)",2.171,35.797,358,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14.7,17.3,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,50,"Patten, R. (1991)",2.172,35.81,358,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8.1,6.5,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,51,"Patten, R. (1991)",2.117,35.845,369,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14.1,32.6,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia mellifera
East Africa,Kenya,Turkana district,52,"Patten, R. (1991)",2.03,35.817,433,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),25,6.6,,,,,4,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia senegal
East Africa,Kenya,Turkana district,53,"Patten, R. (1991)",2.062,35.835,403,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),9.7,4.3,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,54,"Patten, R. (1991)",2.092,35.854,369,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),6.6,4.8,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,55,"Patten, R. (1991)",2.115,35.87,369,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),29.7,4.4,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,56,"Patten, R. (1991)",2.126,35.876,385,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),18.8,29.6,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,57,"Patten, R. (1991)",2.022,35.555,490,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),2.7,6.6,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Balanites orbicularis
East Africa,Kenya,Turkana district,58,"Patten, R. (1991)",2.018,35.567,490,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.8,5.1,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,59,"Patten, R. (1991)",2.011,35.583,480,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.3,14.5,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia reficiens
East Africa,Kenya,Turkana district,60,"Patten, R. (1991)",2.003,35.594,480,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),26,10.2,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Balanites orbicularis
East Africa,Kenya,Turkana district,61,"Patten, R. (1991)",1.997,35.609,480,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.2,5.6,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
East Africa,Kenya,Turkana district,62,"Patten, R. (1991)",1.994,35.628,450,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11.1,4.6,,,,,1.6,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,Bitterlich method,,~2 ha,0 - 100 cm,Acacia tortilis
